-10,00000.3,34242
-9,99600.-0,22124
-9,99200.2,15403
-9,98800.4,66372
-9,98400.1,66456
-9,98000.0,85123
-9,97600.2,25284
-9,97199.0,60491
-9,96799.2,53826
-9,96399.3,17714
-9,95999.2,05721
-9,95599.3,96665
-9,95199.4,21427
-9,94799.0,51919
-9,94399.0,50750
-9,93999.2,72254
-9,93599.4,38817
-9,93199.1,64995
-9,92799.1,63757
-9,92398.1,38991
-9,91998.0,40477
-9,91598.0,50097
-9,91198.0,49385
-9,90798.1,22087
-9,90398.1,67159
-9,89998.1,04048
-9,89598.1,87791
-9,89198.2,48394
-9,88798.0,83784
-9,88398.4,13280
-9,87998.4,23957
-9,87598.1,80758
-9,87197.3,28568
-9,86797.0,19880
-9,86397.0,31457
-9,85997.-0,09401
-9,85597.-0,09233
-9,85197.3,65939
-9,84797.3,09299
-9,84397.0,45744
-9,83997.2,48761
-9,83597.2,49756
-9,83197.1,46257
-9,82797.2,07277
-9,82396.0,46928
-9,81996.-0,03451
-9,81596.2,51212
-9,81196.3,45906
-9,80796.3,55525
-9,80396.2,90708
-9,79996.2,14116
-9,79596.3,84154
-9,79196.2,65550
-9,78796.0,08733
-9,78396.4,42310
-9,77996.0,11015
-9,77596.0,49940
-9,77195.2,63757
-9,76795.3,05195
-9,76395.-0,26666
-9,75995.1,75437
-9,75595.-0,08195
-9,75195.0,52478
-9,74795.2,15972
-9,74395.2,53360
-9,73995.0,66696
-9,73595.0,35773
-9,73195.2,96667
-9,72795.3,78462
-9,72394.3,69756
-9,71994.4,26065
-9,71594.1,62764
-9,71194.3,56294
-9,70794.1,09932
-9,70394.-0,00594
-9,69994.4,68873
-9,69594.4,56105
-9,69194.1,65050
-9,68794.2,68796
-9,68394.2,23473
-9,67994.1,03290
-9,67594.-0,24599
-9,67193.0,95622
-9,66793.3,02031
-9,66393.0,41688
-9,65993.1,37470
-9,65593.1,09197
-9,65193.3,35214
-9,64793.0,38023
-9,64393.4,03307
-9,63993.3,30869
-9,63593.4,27705
-9,63193.0,82351
-9,62793.2,52190
-9,62392.4,16214
-9,61992.4,69179
-9,61592.4,33584
-9,61192.1,86570
-9,60792.3,37766
-9,60392.4,06272
-9,59992.0,79409
-9,59592.3,01544
-9,59192.3,42486
-9,58792.0,07169
-9,58392.0,26193
-9,57992.-0,24472
-9,57592.0,24022
-9,57191.2,35873
-9,56791.2,74306
-9,56391.1,10943
-9,55991.0,64654
-9,55591.0,61899
-9,55191.0,75288
-9,54791.4,67433
-9,54391.2,64355
-9,53991.1,85506
-9,53591.2,05846
-9,53191.3,78306
-9,52791.2,24367
-9,52390.-0,20977
-9,51990.2,60189
-9,51590.3,70348
-9,51190.0,40512
-9,50790.3,00427
-9,50390.-0,18245
-9,49990.-0,16706
-9,49590.3,85289
-9,49190.3,15802
-9,48790.-0,04477
-9,48390.2,19945
-9,47990.0,42882
-9,47590.2,33697
-9,47189.0,77365
-9,46789.4,27924
-9,46389.1,67121
-9,45989.0,10908
-9,45589.4,07956
-9,45189.4,26388
-9,44789.0,21531
-9,44389.0,74081
-9,43989.1,50543
-9,43589.1,86643
-9,43189.3,99927
-9,42789.1,60759
-9,42388.4,03579
-9,41988.3,85569
-9,41588.2,78841
-9,41188.1,57404
-9,40788.2,05768
-9,40388.3,94547
-9,39988.-0,11244
